text;class;keyword_label;valder_label;textbloc_polarity_label;textbloc_subjectivity_label;happy_transformer_label;bert_label;suicidal_bert_label;polarity_modele;Naif;modele_groupement_score;groupement_all_modele_par_3;groupement_all_modele_par_4;groupement_all_modele_par_5;groupement_all_modele_par_4_subjectivity50;groupement_all_modele_par_4_subjectivity75;groupement_all_modele_par_5_subjectivity50;groupement_all_modele_par_5_subjectivity75;groupement_best_modele_par_2;groupement_best_modele_par_3;groupement_best_modele_par_2_subjectivity50;groupement_best_modele_par_2_subjectivity75;groupement_best_modele_par_3_subjectivity50;groupement_best_modele_par_4_subjectivity75
RT  Today  one year ago  I lost a neighbour  and friend  to  suicide  So here is a quote that got me through my worst times  F;1;1;1;-1.0;1.0;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
Big Law Killed My Husband   An Open Letter From A Sidley Partner s Widow https   t co fm1oCvjRYy   Suicide  Depression  Shame;1;1;1;-0.0666666666666666;0.1999999999999999;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
Today  one year ago  I lost a neighbour  and friend  to  suicide  So here is a quote that got me through my worst t  https   t co a83mtDdWsA;1;1;1;-1.0;1.0;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
My cousin   recently retired 30 years in military  committed suicide the day  was elected   https   t co 4YX7GRVqtg;1;1;1;-0.05;0.175;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
After looking at the American suicide statistics  I was shocked to see that white men in their 40s 50s lead  Right  https   t co ZLYTWuxVbQ;1;0;1;-0.1035714285714285;0.3339285714285714;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
RT  Incredibly sad and poignant story about suicide https   t co u73vm5KVxK;1;1;1;-0.25;0.75;0;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
I mean     my life is miserable so I guess light at the end of the tunnel;1;1;1;-0.3041666666666666;0.7958333333333334;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
Really fuckin want this portion of my life to be over;1;0;0;0.2;0.2;1;1;1;1;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0
Unfortunately I can t leave well enough alone and in trying  https   t co FCgrffTOSd;1;1;1;-0.25;0.75;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
RT  TWEETS  are the real life   awkward conversation starters between strangers;1;1;1;-0.1999999999999999;0.65;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
RT  I saw a quote on Pinterest that said   When I stand before God at the end of my life  I hope that I don t have a single bi;1;0;0;-0.0714285714285714;0.2142857142857142;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
so like if the man I end up spending the rest of my days with aint him  I feel like im going to hate my life;1;1;0;-0.8;0.9;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
When my dog does end up passing on    my life will seriously be a tumbling downwards spiral        that s my life  SHES my life;1;0;1;-0.3333333333333333;0.6666666666666666;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
RT  Knets try to describe how V looks like in real life;1;0;0;0.2;0.3;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
man game of thrones is going to end next year and I ll have to wait 10 years for TWOW and ADOS to come out to get m  https   t co LIVsVvZC3M;1;0;0;-0.2;0.2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
I need a guidance  mentor  father figure  guardian angel or whatever fuck out there that can tell me what to do wit  https   t co CQip4mVgAh;1;0;1;-0.4;0.6;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
RT  I m a fucking lunatic when I get angry it s so terrible I need to work on this so bad before I end up doing something that fu;1;1;1;-0.7;0.8666666666666666;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
I m a fucking lunatic when I get angry it s so terrible I need to work on this so bad before I end up doing somethi  https   t co 13FuEpPVue;1;1;1;-0.7;0.8666666666666666;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
y do i overthink everything in my life and then make myself believe these things  i just end up disappointed or stressed ugh;1;0;1;-0.75;0.75;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
RT  I m in desperate need of a kidney transplant  amp  need a matching live donor  I m actually at the end of the road now so need on;1;0;1;-0.1545454545454545;0.5333333333333333;1;0;1;1;1;2;1;0;0;0;0;0;0;1;0;1;0;0;0
At the end of the day I m at this point in my life where I TRULY DO NOT GIVE A FUCK   So if I give a fuck about you  https   t co KOngVi6Kgd;1;1;0;-0.4;0.6;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ergo  my dreams would be crushed  What would I do then  Work a dead end job for the rest of my life and let forms o  https   t co QyPIHvQKMK;1;0;1;-0.15;0.25;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
FUCKING END MY LIFE;1;1;0;-0.6;0.8;1;1;1;0;1;2;1;0;0;0;0;0;0;1;0;1;1;0;0
Hi what the fuck have I been doing with my life lately;1;0;1;-0.35;0.6;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT  the false information of hanyu never having to study like any other person as if he didn t have to wake up at 5AM to take ent;1;1;0;-0.2625;0.4875;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
RT  doctor  i m afraid he may never wake up from his coma;1;1;0;-0.35;0.45;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
my wife  on his will it says he s left all his updog to you;1;0;0;0.0;0.0;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
Whenever I have dreams of my mom lately  it s as if she s still alive and that she never went away   but then again  https   t co fgV1SvUvkO;1;0;0;-0.0999999999999999;0.5;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
you guys are mean I would never wake up my friends;1;1;0;-0.3125;0.6875;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
mafumafu   OH SH IT oH G OD   scrambles to get everything he didn t pack;1;1;0;0.0;0.0;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
RT  Being a single mommy was never part of the plan but I wake up everyday and do my shit;1;0;1;-0.1571428571428571;0.5380952380952381;0;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
Sex dreams are my least favorite dreams  Like they re always weird and appear out of nowhere and then you think its  https   t co 1fdKAwFjwE;1;0;0;-0.0999999999999999;0.7999999999999999;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
RT  Never been to war but I get terrible nightmares that wake me up fighting for my life   thisisus  ptsd;1;1;1;-1.0;1.0;1;0;0;0;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
RT  I used to check the Forbes 30 Under 30 list every year to see if I could find a husband on it;1;0;0;0.0;0.0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT  Never get too attach cause  people wake up with  different feelings everyday;1;0;0;-0.1;0.6;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Never been to war but I get terrible nightmares that wake me up fighting for my life   thisisus  ptsd;1;1;1;-1.0;1.0;1;0;0;0;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
No doubt the Obama  fostered hate  division  chaos and anarchy  They are th  https   t co x5ch7odIZ9;1;1;1;-0.8;0.9;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
Just wanna fucking sleep and never wake up ever again;1;1;0;-0.6;0.8;1;1;0;0;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
Got banned in my boy Clayster s chat by his thot gf  for saying its sad how CoD pros wake up at 4 PM  https   t co 9FJuA5dlC9;1;1;1;-0.5;1.0;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
DISAPPEARING WHEN YOU WAKE UP BUT THERES NOTHING TO BE AFRAID OF EVEN WHEN THE NIGHT CHANGES IT WILL NEVER CHANGE ME AND YOU;1;1;0;-0.6;0.9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sometimes you ll never know how bad you fucked up until one day you wake up with nothing;1;1;1;-0.6499999999999999;0.6833333333333333;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
everything that you ve ever dreamed of;1;1;0;0.0;0.0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Being a single mommy was never part of the plan but I wake up everyday and do my shit;1;0;1;-0.1571428571428571;0.5380952380952381;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Now I gotta go into the bank tomorrow and see what the fuck is going on  I had problems about 3 weeks ago with a bi  https   t co I0WIPHXt5u;1;1;1;-0.4;0.6;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
RT  I go on YouTube to binge watch David dobrik wholeheartedly knowing I m going to be sad bc i cant marry him or Scotty or;1;1;1;-0.5;1.0;0;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
Omg     Theres fires and craziness goin on and you cant go home cause of it  and people are seriously  https   t co TFVjk6d2m7;1;1;1;-0.3333333333333333;0.6666666666666666;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
wow  im sooo sad i had everything planned out on when i was going to leave home  amp  go to college in denver    and yo  https   t co rXS5MlxBqf;1;1;0;-0.2;1.0;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
anyway if you cant accept that ive MOVED ON FROM YOU SICKOS  go fuck yourself  ill just keep avoiding your sorry asses;1;1;1;-0.4666666666666666;0.8666666666666667;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
im hoping my stress level will go down when my aunt is gone    i cant relax  am exhausted  and can t focus on a dam  https   t co 7eRvPZ4rpS;1;0;1;-0.2777777777777778;0.4944444444444444;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
said he has a job but has time for this shit  cant wait to see him next time i go on a maccas run;1;1;1;-0.1;0.4;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
i play hockey  ive gotten penalties like that  dead play or not  you cant go i  https   t co J9vcMvoE23;1;1;0;-0.2;0.4;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
whoever replied i cant see it but just kno i said what i said and go see aquaman directed by james wan on dec 21 https   t co G1lMtPk12l;1;0;0;-0.2;0.15;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
you ve changed for the fucking worse  i cant believe that you could really go back on all ur hard work like that;1;1;1;-0.2305555555555555;0.3805555555555555;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
Millwall v Blackburn travel purchased for live on Sky sports selection  Cant wait to go to the game with value;1;1;0;-0.1318181818181818;0.45;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
why cant I loose enough blood on my period that I just die ugh   IDK go see a doctor https   t co P2PTooYnT5;1;0;1;-0.0384615384615384;0.3846153846153846;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
Just because shane made a Series on you Doesnt mean people take you seriously  y  https   t co D5rA0nua0U;1;0;1;-0.3229166666666666;0.6770833333333333;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
That skill takes time and iq  As a center he could run other bigs off the floor and force other teams to go small a  https   t co i0I3FKsgBt;1;1;0;-0.15;0.3125;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
That s not how it works and if you truly believe this then I feel sorry for you  We do  https   t co PIki5M0cHk;1;1;0;-0.5;1.0;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
I m so much happier  amp  better off without you weak   fake lames   leave me alone   I don t need you anyway  bigslime;1;0;0;-0.04375;0.58125;1;1;1;1;1;2;1;0;0;0;0;0;0;1;0;1;0;0;0
that sounds so terrible that s how i was when my dad still lived w me but i hope it gets better for  https   t co oAh2tUnbXt;1;1;0;-0.25;0.75;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
Ever feel like everyone s better off without you  because me fucking too  https   t co TcS3ZzrZoj;1;1;0;-0.0499999999999999;0.65;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
Better be adding bouncers back then  No way y all are dumb enough to add this big a game change then  https   t co 2GGc72XP5a;1;0;1;-0.0458333333333333;0.3333333333333333;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
RT  release my body;1;0;0;0.0;0.0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
okay but lets be real  why am I really still here   I m nothing but an annoying ass  useless  talentless person can  https   t co znSHgBu1JZ;1;0;1;-0.08;0.42;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
RT  I fucking miss you    but you re probably better off without me;1;1;0;-0.0499999999999999;0.65;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
I need a job that revolves around promoting  mental health but I think it s so grimy to make money off of that       https   t co h9QSTVZxxf;1;0;1;-0.1;0.2;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
I do think homies doing the right thing  amp  deserves every dollar he will get  Steelers are silly for not paying him  https   t co ISoS0lcKTS;1;1;0;-0.1071428571428571;0.7053571428571428;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
I fucking miss you    but you re probably better off without me;1;1;0;-0.0499999999999999;0.65;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
I understand incentivizing companies to move to y  https   t co NRBktPKnVr;1;0;0;0.0;0.0;1;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
RT  i hate feeling the way i do;1;1;1;-0.8;0.9;1;0;0;0;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
RT  Know one enjoys my company and I just make everyone miserable  everyone is better off wi;1;0;0;-0.25;0.75;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Well he was partially right  I do want him to get sick and die and I would dance on his grave  May  https   t co 5AzPorJUos;1;1;1;-0.2142857142857143;0.6964285714285714;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
My work schedule for next week makes me want to DIE I m not ready;1;1;1;-0.05;0.25;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
i want to fucking die;1;1;1;-0.6;0.8;1;1;1;0;1;3;1;1;0;1;1;0;0;1;1;1;1;1;1
aj really not wwe champ anymore    I want to die;1;1;1;-0.1;0.2;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
WHY do you raid Drs offices when you KNOW that illegal fentanyl thru mail is killing people  People are in s  https   t co Q5vMW7XJIq;1;0;1;-0.5;0.5;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
DANIEL WON;1;1;0;0.0;0.0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
why the fuck would they put Daniel is in a match against Brock  Do they want him to die on Sunday;1;1;1;-0.4;0.6;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
No I want him to get indicted  amp  watch the kids go to jail   I don t want him to die because the Trump  https   t co BPMdXzujoo;1;1;1;-0.1;0.0;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
me when i finally die after saying i want to die every single day https   t co zXWoEexbQZ;1;1;1;-0.0357142857142857;0.6071428571428571;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
RT  Naming laws after dead children is a cynical ploy   If you don t support this law  you must want more kids to die  just li;1;0;1;-0.1;0.6333333333333333;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
RT   I don t want to die  But  you know  nothing is for certain  And I m tired of keeping quiet;1;0;1;-0.0619047619047619;0.5349206349206349;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
I want to fucking die someone please kill me but suck all the fat out of me first;1;0;1;-0.175;0.5666666666666667;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
When I die  I want to have a closed casket service at my memorial  Then I want them to play  Pop Goes The Weasel  a  https   t co C4bKrK029g;1;0;1;-0.1;0.1;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
All I want rn is to get home and take a fucking shower and die;1;1;1;-0.6;0.8;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
RT    My name is Arya Stark  I want you to know that  The last thing you re ever going to see is a Stark smi;1;0;0;-0.1333333333333333;0.4222222222222222;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT  I am so jealous of this insane  story I want to die https   t co 6RNqtfKlH5;1;1;1;-1.0;1.0;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
WOW I AM ADDING THAY TO MY LIST OF SHIT TO LISTEN TO WHEN I WANT TO DIE;1;1;1;-0.05;0.9;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT  patient  i hate myself and i want to die;1;1;1;-0.8;0.9;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
I m such a  Disgusting disappointment I ve gotten visibly fatter my cheeks are puffy and my stomach has actually de  https   t co pzeLi6sSIH;1;1;1;-0.4;0.5;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
AFTER EFFECTS HAS FROZEN AND I DID NOT I REPEAT I DID NOT SAVE MY EDIT I WANT TO ACTUALLY FUCKING DIE      IT TOOK  https   t co yif8DABTQm;1;1;1;-0.6;0.8;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
they dropped these fucking teasers when i was in class YEAH THEY WANT ME TO DIE  RIGHT  https   t co nbjoTSHmuw;1;1;1;-0.1571428571428571;0.6678571428571429;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
RT   It s a black Diwali for all of us who failed to  LetAvniLive  while we reached out to ur office with evide;1;1;1;-0.3333333333333333;0.3666666666666667;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
FreeKaavan Another year has passed and I am still alone  sad and suffering  Will I ever live with dignity  Or will  https   t co bk4rdiwZSc;1;1;1;-0.1818181818181818;0.75;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
FreeKaavan Another year has passed and I am still alone  sad and suffering  Will I ever live with dignity  Or will  https   t co 0oWffNaMQb;1;1;1;-0.1818181818181818;0.75;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
RT  Please See Me  I Need My Human  Don t Let Me Die Alone  amp  Afraid  Hurry     https   t co oiiy0hKjTW;1;0;1;-0.3;0.5;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
RT  And I hate the fact if it s true Dojae will do surgery  Dojae has to endure the pain alone     without Segye      altou;1;1;1;-0.225;0.775;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
i wanna fucking die im so tired of feeling pain constantly GOD i need to be left alone and cry and wallow in my misery until i feel better;1;1;1;-0.1;0.4666666666666666;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
I die a little inside when I see an old person eating alone at a restaurant;1;1;1;-0.04375;0.35;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
RT  11 11    BLACKCOVE    Family of 80  dolphins decimated 7 died from stress 48 captured  freedom forever lost Defenseless;1;1;1;-0.4;0.8;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
there are no perks of being this ugly i deserve an award or something at least if i m gonna die alone;1;1;1;-0.5;0.7;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
I don t care who fuck with me at the end of the day i came in this world alone im gon die alone with that being sai  https   t co CuQdOMxwlV;1;0;1;-0.4;0.6;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
And I hate the fact if it s true Dojae will do surgery  Dojae has to endure the pain alone     without Segye      a  https   t co B4hM6MjQRe;1;1;1;-0.225;0.775;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
So this goes well to show the average American trying to retire will die hungry and alone;1;0;1;-0.075;0.1999999999999999;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Now playing J  Gardna ft 2 Pistols  Tone Trump  amp  Drop   Die Alone  Remix   Dirty  on Street Style Radio;1;1;1;-0.6;0.8;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
I just wanna bring up Mac didn t die from cocaine mixed with fentanyl  He literally had a line    shit ain t been t  https   t co wUElVuw1CO;1;0;1;-0.1;0.525;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
me   oh my god i want to fuckin die i hate myself im so lonely;1;1;1;-0.45;0.8;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
Rosie   does he think I m gonna be single forever;1;1;0;-0.0714285714285714;0.2142857142857142;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RT  everyone s fighting about this but will is dead and wessa s kids are dead and jem s going to die one day along with jessa s;1;0;1;-0.2;0.4;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
I m so tired of living and college I just wanna drop out and work somewhere far away from everyone https   t co Dq3rIUxtbv;1;0;1;-0.15;0.85;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
Tired of living life with the fear of not being liked  So for now on  FUCK IT I m really livin  now people;1;1;1;-1.3877787807814457e-17;0.5750000000000001;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
RT  i m so tired of living in a country that has become about taking sides  bitch can we all just love and respect each other;1;1;1;-0.0083333333333333;0.5583333333333332;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
survive but tired like shit what s the point of living;1;1;1;-0.3;0.75;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
RT   HornyFact I m so fucking tired of living I m not smart I m not athletic I m not attractive I m not talented I just ha;1;0;1;-0.3142857142857143;0.8107142857142857;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
Y a I ll go on a complete social media strike till I change myself completely  I m about to unlearn all the fucked  https   t co d2baPJ9Q6c;1;0;1;-0.0916666666666666;0.3916666666666666;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
Need to fucking move out already tired of being told what to when to do it and most of all not having a fucking roo  https   t co 5ViKK3uu20;1;1;1;-0.275;0.7;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
Tired of merely existing  Want to get to living;1;1;1;-0.45;0.6;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
Scared of death  tired of living;1;0;1;-0.4;0.7;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
I m tired of lies and living in lies  of people showing only the versions they want to show and of shows that people put on;1;1;1;-0.2;0.85;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
RT  I m so fucking tired of living I m not smart I m not athletic I m not attractive I m not talented I just have this fucking t;1;0;1;-0.3714285714285714;0.8085714285714285;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
